Year	Position	MenAA	MenFX	MenHB	MenPB	MenPH	MenSR	MenVT	WomenAA	WomenBB	WomenFX	WomenUB	WomenVT	Quad
2006	1	94.4	16.25	16.125	16.075	16.025	16.525	16.487	61.025	15.575	15.875	16.2	15.712	2006-2007
2007	1	93.675	16.15	16.25	16.25	16.3	16.7	16.512	61.875	16.025	15.25	16.35	15.937	2006-2007
2009	1	91.5	15.7	16.15	15.95	16.2	15.675	16.575	57.825	15	14.65	16	15.087	2009-2011
2010	1	92.331	15.7	16.166	15.966	15.833	15.9	16.449	61.032	15.366	14.833	15.733	15.200	2009-2011
2011	1	93.631	15.633	16.441	15.633	15.833	15.8	16.566	59.382	15.866	15.133	15.5	15.3	2009-2011
2013	1	91.99	16	16	15.666	15.833	15.8	15.533	60.216	14.9	15	15.4	15.724	2013-2015
2014	1	91.932	15.75	16.225	16.125	16.033	15.933	15.416	60.231	15.1	15.333	15.633	15.599	2013-2015
2015	1	92.332	16.233	15.833	16.216	16.133	15.8	15.45	60.399	15.358	15.8	15.366	15.666	2013-2015
2006	2	93.175	16.15	15.9	15.95	15.75	16.325	16.312	60.75	15.5	15.55	16.05	15.325	2006-2007
2007	2	92.2	15.95	15.825	16.25	15.7	16.625	16.5	60.625	15.9	15.225	16.3	15.812	2006-2007
2009	2	88.925	15.675	15.825	15.775	16.075	15.575	16.337	57.775	14.875	14.55	14.875	14.525	2009-2011
2010	2	90.048	15.533	16.033	15.616	15.733	15.7	16.366	59.998	15.233	14.766	15.6	15.066	2009-2011
2011	2	90.53	15.5	16.366	15.533	15.266	15.6	16.366	59.349	15.233	15.066	15	14.733	2009-2011
2013	2	90.032	15.6	15.933	15.666	15.633	15.733	15.249	59.332	14.833	14.633	15.266	15.595	2013-2015
2014	2	90.473	15.733	15.725	15.933	15.783	15.733	15.333	59.765	15.033	14.8	15.566	15.554	2013-2015
2015	2	90.698	15.566	15.7	16.066	16.033	15.733	15.4	59.316	14.333	15.1	15.366	15.633	2013-2015
2006	3	92.975	15.7	15.8	15.95	15.5	16.3	15.825	60.25	15.475	15.45	15.775	15.1	2006-2007
2007	3	91.4	15.65	15.775	16.2	15.6	16.575	16.387	60.55	15.9	15.125	16.15	15.412	2006-2007
2009	3	88.4	15.575	15.625	15.5	15.4	15.55	16.287	57.175	14.55	14.3	14.675	14.450	2009-2011
2010	3	89.864	15.366	15.966	15.5	15.566	15.666	16.316	58.966	15.233	14.766	15.066	14.799	2009-2011
2011	3	90.255	15.466	16.333	15.533	15.066	15.5	16.291	58.598	15.133	15	14.833	14.666	2009-2011
2013	3	89.332	15.5	15.633	15.533	15.633	15.666	15.233	58.856	14.333	14.6	15.033	15.483	2013-2015
2014	3	90.449	15.7	15	15.666	15.6	15.7	15.199	58.232	14.166	14.733	15.283	15.366	2013-2015
2015	3	90.099	15.2	15.6	15.966	15.5	15.7	15.35	59.107	14.133	15	15.366	15.541	2013-2015
